// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

18741,511,100
19507,511,100
15100,511,100
21100,511,100
16249,511,100
16250,511,100
16251,511,100
16778,511,100
20001,511,100
20005,511,100
20080,511,100
20081,511,100
20082,511,100
20083,511,100
20085,511,100
20086,511,100
20087,511,100
20088,511,100
20238,511,100
20239,511,100
20240,511,100
20241,511,100
20242,511,100
20243,511,100
20268,511,100
20271,511,100
20272,511,100
20315,511,100
20521,511,100
20522,511,100
20523,511,100
20524,511,100
20525,511,100
20526,511,100
20527,511,100
20528,511,100
20529,511,100
20530,511,100
20531,511,100
20532,511,100
20533,511,100
20534,511,100
20737,479,100
31602,511,100
38989,511,100
381000,511,100
381001,511,100
40067,511,100
40113,479,100
40422,479,100
40438,479,100
40484,511,100
40485,511,100
40486,511,100
40487,511,100
40496,511,100
40497,511,100
40500,511,100
40501,511,100
40502,511,100
40503,511,100
40504,511,100
40505,511,100
40506,511,100
40507,511,100
40508,511,100
40509,511,100
40510,511,100
40511,511,100
40512,511,100
40513,511,100
40586,511,100
40588,511,100
40524,511,100
40525,511,100
